HQ,,,,,,,,,,,,,,,,,,,,,,
,,,PRIMARY IN STRIPS,,,,,,,,,,,,,,,,,,,
S.NO.,PRODUCT NAME, JAN TO MARCH PRIMARY SALE, APRIL,MAY,JUNE,QTR SALE,%GROWTH OVER LAST QTR,JULY,AUG,SEP,QTR SALE,GROWTH OVER LAST QTR,OCT,NOV,DEC,QTR SALE,GROWTH OVER LAST QTR,JAN,FEB,MAR,QTR SALE,GROWTH OVER LAST QTR
1,VINTEL,3246,1650,1498,2195,5343,64.6025878,,,,0,-100,,,,0,-100,,,,0,-100
2,VINVES,,0,,,0,#DIV/0!,,,,0,#DIV/0!,,,,0,#DIV/0!,,,,0,#DIV/0!
3,LINAGET,214,62,84,96,242,13.08411215,,,,0,-100,,,,0,-100,,,,0,-100
4,VALROS,817,352,430,445,1227,50.18359853,,,,0,-100,,,,0,-100,,,,0,-100
5,DIOSGLT,,,65,,65,#DIV/0!,,,,0,#DIV/0!,,,,0,#DIV/0!,,,,0,#DIV/0!
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,SECONDARY IN STRIPS,,,,,,,,,,,,,,,,,,,
S.NO.,PRODUCT NAME, JAN TO MARCH PRIMARY SALE, APRIL,MAY,JUNE,QTR SALE,%GROWTH OVER LAST QTR,JULY,AUG,SEP,QTR SALE,GROWTH OVER LAST QTR,OCT,NOV,DEC,QTR SALE,GROWTH OVER LAST QTR,JAN,FEB,MAR,QTR SALE,GROWTH OVER LAST QTR
1,VINTEL,4819,2023,1709,1717,5449,13.07325171,,,,0,-100,,,,0,-100,,,,0,-100
2,VINVES,21,2,,,2,-90.47619048,,,,0,-100,,,,0,-100,,,,0,-100
3,LINAGET,390,153,130,186,469,20.25641026,,,,0,-100,,,,0,-100,,,,0,-100
4,VALROS,1234,509,361,502,1372,11.18314425,,,,0,-100,,,,0,-100,,,,0,-100
5,DIOSGLT,71,8,39,15,62,-12.67605634,,,,0,-100,,,,0,-100,,,,0,-100
