BE Name - ,,FIELD WORK ACTIVITY,,,,,,,,,,,,
H.Q- ,,,,,,,,,,,,,,
S.N.,PARTICULARS,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,CUMM
1,NO. OF DAYS IN MONTH,30,31,30,31,,,,,,,,,122
2,NO. OF AVAILABLE F.W. DAYS,26,25,26,27,,,,,,,,,104
3,NO. OF ACTUAL F.W. DAYS,26,23,24,24,,,,,,,,,97
4,NO. OF DAYS ON LEAVE,0,1,1,1,,,,,,,,,3
5,NO. OF DAYS OF HOLIDAYS,0,1,,1/0/0,,,,,,,,,1
6,NO. OF DAYS MEETING/ ADMIN /TRANSIT,,1/0/0,1/0/0/0,1/1/0/0,,,,,,,,,0
7,TOTAL NO. OF DR. CALL,239,209,213,208,,,,,,,,,869
8,DR. CALL AVERAGE,9,9,9,9,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,9
9,TOTAL NO. OF CHEMIST CALL,234,208,250,239,,,,,,,,,931
10,CHEMIST CALL AVERAGE,9,9,10,10,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,10
11,"NO. OF ACTIVITIES  ( CAMP, DOB, DOA, RTM, DINNER, CME)",2/2/4/0/0/0,2/6/5/0/0/0),3/4/1/0/0/0),,,,,,,,,,0
12,NO. OF DR. CONVERSION IN AREA,,1,1,,,,,,,,,,2
13,NO. OF DRS. ADDED NEW BRAND,,,,,,,,,,,,,
14,NO. OF DRS. STOPPED,,,,,,,,,,,,,
15,NO. OF F.W. DAYS WITH MANAGER ,6,3,3,,,,,,,,,,12
16,NO. OF F.W. DAYS INDEPENDENT,20,20,21,,,,,,,,,,61
,,,,,,,,,,,,,,
