BE Name -,,,,,,,,,,,,,,
H.Q- ,,,,,,,,,,,,,,
S.N.,PARTICULARS,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,CUMM
1,BUDGET,4.34,4.55,4.89,4.83,4.98,5.28,4.7,4.93,5.3,4.97,4.69,4.55,58.01
2,PRIMARY. 26-27,4.34,4.75,5.07,4.84,,,,,,,,,19
,PRIMARY. 25-26,4.34,4.66,4.89,4.36,4.98,1.82,4.7,4.01,2.83,3.5,3.66,2.22,45.97
3,% PRM. ACHIVEMENT,100,104,104,100,0,0,0,0,0,0,0,0,33
,PRIMARY GROWTH,0,2,4,11,-100,-100,-100,-100,-100,-100,-100,-100,-59
4,SECONDARY 26-27,5.11,4.74,5.28,4.8,,,,,,,,,19.93
5,SECONDARY 25-26,4.06,4.44,4.48,4.95,4.51,4.28,4.53,4.47,4.72,4.73,4.04,4.51,53.72
6,SECONDARY GROWTH,26,7,18,-3,-100,-100,-100,-100,-100,-100,-100,-100,-63
7,SALES RETURNS,52875,0,14244,0,,,,,,,,,67119
8,EXPIRY,37317,0,,26845,,,,,,,,,64162
9,CLOSING STOCK,5.13,8.12,7.8,,,,,,,,,,21.05
10,INVESTMENT*,12.5k,150k,0,,,,,,,,,,0
