,,HQ NAME:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIT SALES PROGRESSION (HQ TOTAL),,,APRIL,,,MAY,MAY,,JUN,JUNE,,JULY,JULY,,AUG,AUG,,SEP,SEP,,OCT,OCT,,NOV,NOV,,DEC,DEC,,JAN,JAN,,FEB,FEB,,MAR,MARCH,
S.N.,PRODUCT NAME,PTS,NET PRI,NET SEC,CLOSING,NET PRI,NET SEC,CLOSING,NET PRI,NET SEC,CLOSING,NET PRI,NET SEC,CLOSING,NET PRI,NET SEC,CLOSING,NET PRI,NET SEC,CLOSING,NET PRI,NET SEC,CLOSING,NET PRI,NET SEC,CLOSING,NET PRI,NET SEC,CLOSING,NET PRI,NET SEC,CLOSING,NET PRI,NET SEC,CLOSING,NET PRI,NET SEC,CLOSING
1,CALGYM 60K CAPS,90.16,620.00 ,495,385,490,350,147,258,353,308,316,413,329,,,,,,,,,,,,,,,,,,,,,,,,
2,CALGYM TAB,81.78,219.00 ,139,260,220,128,143,30,123,254,63,89,260,,,,,,,,,,,,,,,,,,,,,,,,
3,CILDIOS 10 TAB,77.08,,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
4,CILDIOS 20 TAB,94.29,,,,,,,10,10,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,
5,CITICURE 500 TAB,505.60,,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
6,CITICURE PLUS TAB,517.28,,2,24,10,8,10,0,0,6,10,10,26,,,,,,,,,,,,,,,,,,,,,,,,
7,DIOFLAM TAB,41.72,,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
8,DIOMILIN NT TABLET,138.36,80.00 ,76,91,86,123,47,96,180,153,43,93,120,,,,,,,,,,,,,,,,,,,,,,,,
9,DIOSGLT 10 TAB,145.84,,8,37,65,39,36,0,15,63,96,45,94,,,,,,,,,,,,,,,,,,,,,,,,
10,DIOZAM 10 TAB,60.75,,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
11,DIOZAM 5 TAB,35.03,,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
12,ESIPRAM 10MG TAB,65.46,186.00 ,245,212,170,251,101,230,254,89,116,229,230,,,,,,,,,,,,,,,,,,,,,,,,
13,ESIPRAM PLUS TAB,105.39,274.00 ,374,135,269,276,172,315,230,199,143,231,369,,,,,,,,,,,,,,,,,,,,,,,,
14,FITJEE CAPS,105.16,62.00 ,0,10,100,121,19,10,130,19,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
15,FITJEE CAPSULE,74.08,,0,140,,0,0,0,0,0,18,11,48,,,,,,,,,,,,,,,,,,,,,,,,
16,FITJEE DM TABLET,174.98,10.00 ,20,22,4,8,7,30,16,1,-13,3,53,,,,,,,,,,,,,,,,,,,,,,,,
17,FITJEE Q10 TAB,365.46,10.00 ,12,55,,14,0,50,25,15,19,9,54,,,,,,,,,,,,,,,,,,,,,,,,
18,ISIRON CAPS,63.65,90.00 ,35,21,30,34,37,10,22,46,0,12,53,,,,,,,,,,,,,,,,,,,,,,,,
19,LINAGET DM TAB,121.50,,9,44,30,6,18,0,15,33,0,12,21,,,,,,,,,,,,,,,,,,,,,,,,
20,LINAGET-5 TAB,66.47,,48,30,,17,9,18,18,0,15,46,24,,,,,,,,,,,,,,,,,,,,,,,,
21,LINAGET-D TAB,112.44,,3,13,24,40,99,15,40,81,53,25,140,,,,,,,,,,,,,,,,,,,,,,,,
22,LINAGET-E25,77.08,22.00 ,39,46,,27,61,20,40,52,120,46,131,,,,,,,,,,,,,,,,,,,,,,,,
23,LINAGET-M-OD5/1000 TAB,91.93,,5,6,,0,0,0,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
24,LINAGET-M-OD5/500 TAB,76.82,40.00 ,40,57,20,9,5,20,46,21,29,16,60,,,,,,,,,,,,,,,,,,,,,,,,
25,LINAGET-M1000 TAB,82.93,,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
26,LINAGET-M500 TAB,62.93,,9,7,10,31,0,23,21,5,0,8,15,,,,,,,,,,,,,,,,,,,,,,,,
27,METDIOS25 ,31.32,,,,,,,20,10,0,0,0,20,,,,,,,,,,,,,,,,,,,,,,,,
28,METDIOS50,37.71,,,,,,,17,10,0,0,0,20,,,,,,,,,,,,,,,,,,,,,,,,
29,NEUTOCID DSR CAPS,66.12,,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
30,NEUTOCID LS TAB,123.24,20.00 ,10,20,10,11,19,20,12,27,0,6,21,,,,,,,,,,,,,,,,,,,,,,,,
31,PREMYLIN M 75 TAB,121.42,8.00 ,134,111,10,46,85,70,92,88,11,117,214,,,,,,,,,,,,,,,,,,,,,,,,
32,PREMYLIN MSR TAB,116.68,311.00 ,277,309,220,195,229,493,419,69,249,272,366,,,,,,,,,,,,,,,,,,,,,,,,
33,PROSTADO D TAB,184.46,,6,62,10,26,41,10,16,28,100,74,77,,,,,,,,,,,,,,,,,,,,,,,,
34,PROSTADO TAB,60.23,,0,20,,3,17,0,0,0,0,3,29,,,,,,,,,,,,,,,,,,,,,,,,
35,SOLEM 250 TAB,39.39,,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
36,SOLEM 500 TAB,83.06,,0,0,30,49,0,0,0,0,50,40,50,,,,,,,,,,,,,,,,,,,,,,,,
37,VALROS 10 TAB,93.17,90.00 ,138,207,75,80,259,150,104,176,35,116,317,,,,,,,,,,,,,,,,,,,,,,,,
38,VALROS 20 TAB,139.46,,59,97,30,41,79,30,40,55,56,33,80,,,,,,,,,,,,,,,,,,,,,,,,
39,VALROS 40TAB,185.07,,0,0,,0,0,0,0,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,
40,VALROS ASP CAPS,52.11,,42,109,60,36,100,50,32,71,106,84,84,,,,,,,,,,,,,,,,,,,,,,,,
41,VALROS ASP150 CAPS,52.68,,0,33,,0,0,0,0,0,0,0,30,,,,,,,,,,,,,,,,,,,,,,,,
42,VALROS EZ-10,171.36,,0,0,60,56,19,60,38,41,60,42,68,,,,,,,,,,,,,,,,,,,,,,,,
43,VALROS EZ-20,171.36,,0,0,30,0,0,30,31,14,0,14,30,,,,,,,,,,,,,,,,,,,,,,,,
44,VALROS EZ-40,171.36,,,,,,,50,30,0,30,0,60,,,,,,,,,,,,,,,,,,,,,,,,
45,VALROS F TAB,115.90,200.00 ,199,135,120,112,167,60,186,108,331,118,97,,,,,,,,,,,,,,,,,,,,,,,,
46,VALROS GOLD 10 CAPS,108.20,42.00 ,35,65,15,9,70,0,13,79,-2,16,95,,,,,,,,,,,,,,,,,,,,,,,,
47,VALROS GOLD 20 CAPS,108.20,20.00 ,34,116,40,24,160,15,22,73,29,49,92,,,,,,,,,,,,,,,,,,,,,,,,
48,VALROS-F20 TAB,250.07,,2,76,,3,41,0,6,35,0,0,111,,,,,,,,,,,,,,,,,,,,,,,,
49,VIDGLIT M FOTRE TAB,110.80,,0,0,,0,0,0,3,7,10,7,40,,,,,,,,,,,,,,,,,,,,,,,,
50,VIDGLIT M TAB,98.82,69.00 ,116,111,70,95,25,60,59,37,225,143,80,,,,,,,,,,,,,,,,,,,,,,,,
51,VIDGLIT TAB,74.35,20.00 ,29,34,10,24,26,41,42,12,80,41,71,,,,,,,,,,,,,,,,,,,,,,,,
52,VIDMET G 80 TAB,81.68,170.00 ,171,243,220,259,206,246,239,108,154,216,232,,,,,,,,,,,,,,,,,,,,,,,,
53,VIDMET SR 1000MG TAB,27.40,,43,148,,83,44,130,136,124,50,143,156,,,,,,,,,,,,,,,,,,,,,,,,
54,VIDMET SR 500MG TAB,13.19,309.00 ,1247,186,255,935,167,1640,1584,165,200,1190,339,,,,,,,,,,,,,,,,,,,,,,,,
55,VINTEL 20 TAB,26.37,100.00 ,119,89,,25,75,230,13,49,-221,15,55,,,,,,,,,,,,,,,,,,,,,,,,
56,VINTEL 40 TAB ,73.00,370.00 ,493,126,510,408,46,113,415,135,370,185,534,,,,,,,,,,,,,,,,,,,,,,,,
57,VINTEL 80 TAB,72.35,,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
58,VINTEL AM40 TAB,103.84,170,147,221,70,96,120,630,77,92,-491,99,218,,,,,,,,,,,,,,,,,,,,,,,,
59,VINTEL CD TAB,62.93,,3,7,20,5,18,10,10,0,20,6,16,,,,,,,,,,,,,,,,,,,,,,,,
60,VINTEL CT TAB,80.90,40,85,118,170,135,63,380,108,94,-200,104,76,,,,,,,,,,,,,,,,,,,,,,,,
61,VINTEL CTC 6.25 TAB ,126.17,,,,,,,0,0,0,150,0,0,,,,,,,,,,,,,,,,,,,,,,,,
62,VINTEL CTC TAB,126.30,922,1048,546,548,850,500,698,926,252,1042,987,615,,,,,,,,,,,,,,,,,,,,,,,,
63,VINTEL H40 TAB ,124.07,43,91,84,160,150,128,91,141,143,44,113,167,,,,,,,,,,,,,,,,,,,,,,,,
64,VINTEL H80 TAB,104.78,,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
65,Vintel M25 TAB,69.23,5,23,72,,20,68,43,27,18,34,25,99,,,,,,,,,,,,,,,,,,,,,,,,
66,Vintel M50 TAB,76.15,,14,18,20,20,23,0,0,0,60,35,46,,,,,,,,,,,,,,,,,,,,,,,,
67,VINVES-100 TAB,304.72,,0,0,,0,0,0,0,0,20,0,20,,,,,,,,,,,,,,,,,,,,,,,,
68,VINVES-50 TAB,178.72,,2,19,,3,16,0,0,0,50,13,33,,,,,,,,,,,,,,,,,,,,,,,,
69,XILDA 50 TAB,85.99,,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
70,XILDA M 1000 TAB,78.17,,4,34,,0,0,10,18,0,-14,0,6,,,,,,,,,,,,,,,,,,,,,,,,
71,XILDA M 500 TAB,85.99,80,73,114,128,96,51,60,110,96,51,109,111,,,,,,,,,,,,,,,,,,,,,,,,
72,XILDA P TAB,82.93,,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
73,ZIRON CAPS,18.64,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,METDIOS25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,METDIOS50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
