DETAILS OF PRODUCTS HAVING LESS THAN 8 MONTHS EXPIRY,,,,,,
S. NO,PRODUCT,HQ,STOCKIST NAME,QUANTITY,MONTH OF EXPIRY,PLAN OF LIQUIDATION
1,CALGYM 60K CAP,,,,,
2,CALGYM TAB,,,,,
3,CALROS TAB,,,,,
4,CITICURE 500 TAB,,,,,
5,CITICURE PLUS TAB,,,,,
6,DIOFLAM TAB,,,,,
7,DIOMILIN NT TAB,,,,,
8,DIOSGLT 10 TAB,,,,,
9,DIOSUL TAB,,,,,
10,DIOZAM 10 TAB,,,,,
11,DIOZAM 5 TAB,,,,,
12,ESIPRAM 10MG TAB,,,,,
13,ESIPRAM PLUS TAB,,,,,
14,FITJEE CAP,,,,,
15,FITJEE DM TAB,,,,,
16,ISIRON CAP,,,,,
17,NEUTOCID DSR CAP,,,,,
18,NEUTOCID LS CAP,,,,,
19,PREMYLIN M 75 TAB,,,,,
20,PREMYLIN M SR TAB,,,,,
21,PROSTADO TAB,,,,,
22,PROSTADO D TAB,,,,,
23,SOLEM 500 TAB,,,,,
24,VALROS 10 TAB,,,,,
25,VALROS 20 TAB,,,,,
26,VALROS ASP TAB,,,,,
27,VALROS F TAB,,,,,
28,VALROS GOLD 20 CAP,,,,,
29,VALROS GOLD 10 CAP,,,,,
30,VIDGLIT M FORTE TAB,,,,,
31,VIDGLIT M TAB,,,,,
32,VIDGLIT TAB,,,,,
33,VIDMET G 80 TAB,,,,,
34,VIDMET SR 1000MG TAB,,,,,
35,VIDMET SR 500MG TAB,,,,,
36,VINTEL 20 TAB,,,,,
37,VINTEL 40 TAB,,,,,
38,VINTEL 40AM TAB,,,,,
39,VINTEL 80 TAB,,,,,
40,VINTEL CT TAB,,,,,
41,VINTEL CTC TAB,,,,,
42,VINTEL H40 TAB,,,,,
43,VINTEL H80 TAB,,,,,
44,VINTEL M 25 TAB,,,,,
45,VINTEL M 50 TAB,,,,,
46,XILDA M 500 TAB,,,,,
47,XILDA M 1000 TAB,,,,,
48,XILDA TAB,,,,,
