NAGDA DISTRIBUTORS,,,,,,,,,,
"206 2ND FLOOR SHRINATH PLAZA OPP.M.B.HOSPITAL,UDAIPUR-313001",,,,,,,,,,
"Phone : 0294-2420602,7014716008,9413318602 E-Mail : nagdadistributores@rediffmail.com",,,,,,,,,,
D.L.No. : 5472-5473,,,,,,,,,,
DIOS LIFE SCINCES PVT.LTD. STOCK & SALES STATEMENT 01-06-2026 - 30-06-2026,,,,,,,,,,
 ,,,,,,,,,,
PRODUCT DESCRIPTION,"OPENING
STOCK","PURCHASE
QUANTITY","SALE RETURN
QUANTITY","REPLACE+
OTHERS","TOTAL
RECEIVE","SALE
QUANTITY","P/R
QUANTITY","REPLACE+
OTHERS","CLOSING
STOCK","ORDER
QUANTITY"
CALGYM TAB.                   10 S,9,30,0,0,39,19,0,0,20,8.5
CALGYM-60K CAP.               4 S,96,50,0,0,146,41,0,0,105,0
CILDIOS 10 S,0,0,0,0,0,0,0,0,0,0
CILDIOS 20 TAB 10 S,0,10,0,0,10,0,0,0,10,0
CITICURE PLUS 10 S,10,0,0,0,10,0,0,0,10,0
CITICURE-500                  10 S,0,0,0,0,0,0,0,0,0,0
DIOFLAM TAB.                  10 S,0,0,0,0,0,0,0,0,0,0
DIOMILIN NT TAB. 10 S,0,0,0,0,0,0,0,0,0,0
DIOMILIN NT TAB.15 S          15 S,2,10,0,0,12,2,0,0,10,0
DIOSGLT-10 TAB.15 S 15 S,0,0,0,0,0,0,0,0,0,0
DIOZAM 10 TAB.                10 S,0,0,0,0,0,0,0,0,0,0
DIOZAM 5 TAB 10 S,0,0,0,0,0,0,0,0,0,0
ESIPRAM 10MG.TAB.             10 S,9,50,0,0,59,18,0,0,41,0
ESIPRAM PLUS TAB.             10 S,30,10,0,0,40,17,0,0,23,2.5
FITJEE CAP                    10 S,10,10,0,0,20,10,0,0,10,5
FITJEE Q10 TAB. 10 S,-2,10,0,0,8,0,0,0,8,0
FITJEE-DM TAB 10 S,12,0,0,0,12,4,0,0,8,0
ISIRON CAP.                   10 S,9,10,0,0,19,0,0,0,19,0
LINAGET DM TAB.               10 S,0,0,0,0,0,0,0,0,0,0
LINAGET- D 10 S,13,0,0,0,13,6,0,0,7,2
LINAGET-5 TAB.                10 S,0,0,0,0,0,0,0,0,0,0
LINAGET-E25 10 S,0,20,0,0,20,8,0,0,12,0
LINAGET-M1000 TAB.            10 S,0,0,0,0,0,0,0,0,0,0
LINAGET-M500 10 S,0,0,0,0,0,0,0,0,0,0
METDIOS 25 10 S,0,10,0,0,10,0,0,0,10,0
METDIOS 50 10 S,0,10,0,0,10,0,0,0,10,0
NEUTOCID LS                   10 S,0,0,0,0,0,0,0,0,0,0
PREMYLIN-M75 TAB.             10 S,21,20,0,0,41,16,0,0,25,0
PREMYLIN-MSR TAB.             10 S,34,70,2,0,106,59,0,0,47,41.5
PROSTADO TAB. 10 S,17,0,0,0,17,5,0,0,12,0
PROSTADO-D TAB.               10 S,7,10,0,0,17,3,0,0,14,0
VALROS ASP 150 CAP 10 S,30,0,0,0,30,0,0,0,30,0
VALROS ASP CAP 10 S,27,0,0,0,27,0,0,0,27,0
VALROS EZ-40 10 S,0,30,0,0,30,0,0,0,30,0
VALROS GOLD10 CAP. 10 S,30,0,0,0,30,0,0,0,30,0
VALROS GOLD20 CAP. 10 S,13,15,0,0,28,27,0,0,1,39.5
VALROS-10 TAB.                10 S,19,0,0,0,19,3,0,0,16,0
VALROS-20 TAB.                10 S,16,0,0,0,16,6,0,0,10,0
VALROS-F 20 TAB 10 S,24,0,0,0,24,0,0,0,24,0
VALROS-F TAB.                 10 S,23,0,0,0,23,24,0,0,-1,37
VIDGLIT M FORTE TAB. 10 S,0,0,0,0,0,0,0,0,0,0
VIDGLIT M TAB.                10 S,18,10,0,0,28,7,0,0,21,0
VIDGLIT TAB.                  10 S,16,0,0,0,16,6,0,0,10,0
VIDMET-G 80 TAB. 10 S,37,80,0,0,117,45,0,0,72,0
VIDMET-SR 1000                10 S,18,10,0,0,28,10,0,0,18,0
VIDMET-SR 500                 10 S,-5,160,0,0,155,91,0,0,64,72.5
VINTEL CD TAB 10 S,8,10,0,0,18,6,0,0,12,0
VINTEL-20 TAB .               10 S,13,0,0,0,13,1,0,0,12,0
VINTEL-40 TAB.15 S            15 S,3,30,0,0,33,41,0,0,-8,69.5
VINTEL-40AM TAB.              15 S,41,0,70,0,111,8,0,0,103,0
VINTEL-40H TAB15 S            15 S,16,0,0,0,16,10,0,0,6,9
VINTEL-80 TAB.                10 S,0,0,0,0,0,0,0,0,0,0
VINTEL-CT TAB.                10 S,11,30,0,0,41,25,0,0,16,21.5
VINTEL-CTC TAB.               10 S,89,60,0,0,149,117,0,0,32,143.5
