NAGDA DISTRIBUTORS,,,,,,,,,,
"206,2ND FLOOR SHRINATH PLAZA, OPP.M.B.HOSPITAL,UDAIPUR-313001",,,,,,,,,,
"Phone : 0294-2420602,7014716008,9413318602 E-Mail : nagdadistributores@rediffmail.com",,,,,,,,,,
D.L.No. : 5472-5473,,,,,,,,,,
DIOS LIFE SCINCES PVT.LTD. STOCK & SALES STATEMENT 01-05-2026 - 31-05-2026,,,,,,,,,,
 ,,,,,,,,,,
PRODUCT DESCRIPTION,"OPENING
STOCK","PURCHASE
QUANTITY","SALE RETURN
QUANTITY","REPLACE+
OTHERS","TOTAL
RECEIVE","SALE
QUANTITY","P/R
QUANTITY","REPLACE+
OTHERS","CLOSING
STOCK",RATE
CALGYM TAB.                   10 S,20,0,0,0,20,11,0,0,9,81.78
CALGYM-60K CAP.               4 S,116,30,0,0,146,50,0,0,96,90.16
CILDIOS 10 S,0,0,0,0,0,0,0,0,0,0
CITICURE PLUS 10 S,10,0,0,0,10,0,0,0,10,517.27
CITICURE-500                  10 S,0,0,0,0,0,0,0,0,0,0
DIOFLAM TAB.                  10 S,0,0,0,0,0,0,0,0,0,0
DIOMILIN NT TAB. 10 S,0,0,0,0,0,0,0,0,0,0
DIOMILIN NT TAB.15 S          15 S,11,0,1,0,12,10,0,0,2,138.36
DIOSGLT-10 TAB.15 S 15 S,0,0,0,0,0,0,0,0,0,132.59
DIOZAM 10 TAB.                10 S,0,0,0,0,0,0,0,0,0,60.75
DIOZAM 5 TAB 10 S,0,0,0,0,0,0,0,0,0,35.04
ESIPRAM 10MG.TAB.             10 S,35,0,0,0,35,26,0,0,9,65.46
ESIPRAM PLUS TAB.             10 S,57,0,0,0,57,31,0,0,26,105.39
FITJEE CAP                    10 S,10,0,0,0,10,0,0,0,10,105.16
FITJEE Q10 TAB. 10 S,12,0,0,0,12,14,0,0,-2,365.46
FITJEE-DM TAB 10 S,12,0,0,0,12,0,0,0,12,174.98
ISIRON CAP.                   10 S,19,0,0,0,19,10,0,0,9,57.86
LINAGET DM TAB.               10 S,0,0,0,0,0,0,0,0,0,121.5
LINAGET- D 10 S,13,0,0,0,13,3,0,0,10,112.44
LINAGET-5 TAB.                10 S,0,0,0,0,0,0,0,0,0,0
LINAGET-E25 10 S,6,0,0,0,6,9,0,0,-3,77.08
LINAGET-M1000 TAB.            10 S,0,0,0,0,0,0,0,0,0,0
LINAGET-M500 10 S,0,0,0,0,0,0,0,0,0,0
NEUTOCID LS                   10 S,0,0,0,0,0,0,0,0,0,0
PREMYLIN-M75 TAB.             10 S,18,10,0,0,28,7,0,0,21,121.42
PREMYLIN-MSR TAB.             10 S,38,40,0,0,78,44,0,0,34,116.68
PROSTADO TAB. 10 S,20,0,0,0,20,3,0,0,17,60.23
PROSTADO-D TAB.               10 S,13,0,0,0,13,6,0,0,7,184.46
VALROS ASP 150 CAP 10 S,30,0,0,0,30,0,0,0,30,52.68
VALROS ASP CAP 10 S,20,10,0,0,30,3,0,0,27,52.11
VALROS GOLD10 CAP. 10 S,30,0,0,0,30,0,0,0,30,108.2
VALROS GOLD20 CAP. 10 S,0,15,0,0,15,2,0,0,13,108.2
VALROS-10 TAB.                10 S,37,0,0,0,37,18,0,0,19,93.17
VALROS-20 TAB.                10 S,22,0,0,0,22,6,0,0,16,139.46
VALROS-F 20 TAB 10 S,24,0,0,0,24,0,0,0,24,250.07
VALROS-F TAB.                 10 S,19,30,0,0,49,26,0,0,23,115.9
VIDGLIT M FORTE TAB. 10 S,0,0,0,0,0,0,0,0,0,0
VIDGLIT M TAB.                10 S,31,20,0,0,51,36,0,0,15,98.82
VIDGLIT TAB.                  10 S,16,0,0,0,16,0,0,0,16,74.35
VIDMET-G 80 TAB. 10 S,74,20,0,0,94,57,0,0,37,81.68
VIDMET-SR 1000                10 S,18,0,0,0,18,0,0,0,18,27.4
VIDMET-SR 500                 10 S,32,30,0,0,62,67,0,0,-5,13.19
VINTEL CD TAB 10 S,2,10,0,0,12,4,0,0,8,57.22
VINTEL-20 TAB .               10 S,22,0,0,0,22,9,0,0,13,26.37
VINTEL-40 TAB.15 S            15 S,32,30,0,0,62,63,0,0,-1,73
VINTEL-40AM TAB.              15 S,61,0,0,0,61,20,0,0,41,103.84
VINTEL-40H TAB15 S            15 S,22,0,0,0,22,6,0,0,16,124.07
VINTEL-80 TAB.                10 S,0,0,0,0,0,0,0,0,0,72.34
VINTEL-CT TAB.                10 S,11,20,0,0,31,20,0,0,11,80.9
VINTEL-CTC TAB.               10 S,146,60,0,0,206,120,0,0,86,126.3
VINTEL-H80 TAB.               10 S,0,0,0,0,0,0,0,0,0,0
VINTEL-M25 TAB.               10 S,0,0,0,0,0,0,0,0,0,62.94
VINTEL-M50 TAB.               10 S,5,10,0,0,15,3,0,0,12,76.15
VINVES-100 TAB.               14 S,0,0,0,0,0,0,0,0,0,0
VINVSE-50 TAB.                14 S,0,0,0,0,0,0,0,0,0,178.71
XILDA P TAB.                  10 S,0,0,0,0,0,0,0,0,0,0
XILDA-50 TAB. 15 S,0,0,0,0,0,0,0,0,0,0
XILDA-M 500 TAB. 15 S,42,10,0,0,52,46,0,0,6,85.99
XILDA-M1000 TAB. 15 S,0,0,0,0,0,0,0,0,0,78.17
TOTAL QUANTITY,1106,345,1,0,1452,730,0,0,722,0
TOTAL VALUE,115088,31793,154,0,147034,74556,0,0,77419,0
 ,,,,,,,,,,
"MARG ERP NANO for Chemist @Rs.5400 | Stock,Accounts,GST,Expiry | Online Purchase Import | Call 9829043520,7412952521",,,,,,,,,,
,,,,,,,,,,
